product_id,link_x,title_x,tag_x,audience_men,audience_women,audience_kids,link_y,title_y,tag_y,price,colors,page,color,img
VN000EACBK3,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACBK3,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",True,True,False,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACBK3,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",$60.00,5 colors,1,Checkerboard Yellow / Red,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761344820/VN000EACBK3-HERO/Game-Day-Classic-SlipOn-Checkerboard-Shoe.psd"
VN000EGAQ3Y,/en-us/p/shoes/icons/authentic-5310/vans-x-space-molly-authentic-shoe-VN000EGAQ3Y,VANS x SPACE MOLLY Authentic Shoe,"Lifestyle, Collab, Icon",True,True,False,/en-us/p/shoes/icons/authentic-5310/vans-x-space-molly-authentic-shoe-VN000EGAQ3Y,VANS x SPACE MOLLY Authentic Shoe,"Lifestyle, Collab, Icon",$75.00,3 colors,1,Space Molly Black / Dachshund Brown,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761350639/VN000EGAQ3Y-HERO/VANS-x-SPACE-MOLLY-Authentic-Shoe.psd"
VN000EACBGL,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACBGL,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",True,True,False,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACBGL,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",$60.00,5 colors,1,Checkerboard Burgundy Red / Gold,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761344930/VN000EACBGL-HERO/Game-Day-Classic-SlipOn-Checkerboard-Shoe.psd"
VN000Z0SBJB,/en-us/p/shoes/icons/sk8-hi-5325/van-doren-approved-skate-sk8-hi-denim-shoe-VN000Z0SBJB,Van Doren Approved Skate SK8-Hi Denim Shoe,"Skate, Icon, Vulcanized, Impact Protection, Board Grip",True,False,False,/en-us/p/shoes/icons/sk8-hi-5325/van-doren-approved-skate-sk8-hi-denim-shoe-VN000Z0SBJB,Van Doren Approved Skate SK8-Hi Denim Shoe,"Skate, Icon, Vulcanized, Impact Protection, Board Grip",$85.00,5 colors,1,Denim Blue,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1758833758/VN000Z0SBJB-HERO/Van-Doren-Approved-Skate-SK8Hi-Denim-Shoe.png"
VN000D9WEMT,/en-us/p/shoes/icons/classic-slip-on-5315/premium-classic-slip-on-shoe-VN000D9WEMT,Premium Classic Slip-On Shoe,"Lifestyle, Icon, Easy On, Waterproof, Suede, Cushioning",True,True,False,/en-us/p/shoes/icons/classic-slip-on-5315/premium-classic-slip-on-shoe-VN000D9WEMT,Premium Classic Slip-On Shoe,"Lifestyle, Icon, Easy On, Waterproof, Suede, Cushioning",$80.00,10 colors,1,Deep Twilight Blue,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1758118105/VN000D9WEMT-HERO/Premium-Classic-SlipOn-Shoe.png"
VN000Z0T8BT,/en-us/p/shoes/icons/authentic-5310/van-doren-approved-skate-authentic-denim-shoe-VN000Z0T8BT,Van Doren Approved Skate Authentic Denim Shoe,"Skate, Icon, Vulcanized, Impact Protection, Board Grip",True,False,False,/en-us/p/shoes/icons/authentic-5310/van-doren-approved-skate-authentic-denim-shoe-VN000Z0T8BT,Van Doren Approved Skate Authentic Denim Shoe,"Skate, Icon, Vulcanized, Impact Protection, Board Grip",$70.00,5 colors,1,Light Denim Blue,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1758833776/VN000Z0T8BT-HERO/Van-Doren-Approved-Skate-Authentic-Denim-Shoe.png"
VN000EACBO4,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACBO4,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",True,True,False,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACBO4,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",$60.00,5 colors,1,Checkerboard Red / Gold,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761344990/VN000EACBO4-HERO/Game-Day-Classic-SlipOn-Checkerboard-Shoe.psd"
VN000EJ3Q47,/en-us/p/shoes/icons/old-skool-5205/van-doren-approved-skate-old-skool-denim-shoe-VN000EJ3Q47,Van Doren Approved Skate Old Skool Denim Shoe,"Skate, Icon, Vulcanized, Impact Protection, Board Grip",True,False,False,/en-us/p/shoes/icons/old-skool-5205/van-doren-approved-skate-old-skool-denim-shoe-VN000EJ3Q47,Van Doren Approved Skate Old Skool Denim Shoe,"Skate, Icon, Vulcanized, Impact Protection, Board Grip",$80.00,5 colors,1,Denim Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761583483/VN000EJ3Q47-HERO/Van-Doren-Approved-Skate-Old-Skool-Denim-Shoe.psd"
VN000EA9CCZ,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-platform-shoe-VN000EA9CCZ,Classic Slip-On Platform Shoe,"Lifestyle, Original Icon, Platform, Pearlized, Easy-On",False,True,False,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-platform-shoe-VN000EA9CCZ,Classic Slip-On Platform Shoe,"Lifestyle, Original Icon, Platform, Pearlized, Easy-On",$75.00,9 colors,1,Marshmallow White,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761344739/VN000EA9CCZ-HERO/Classic-SlipOn-Platform-Shoe.psd"
VN0010Z2448,/en-us/p/shoes/icons/sk8-hi-5325/blue-block-sk8-hi-keychain-VN0010Z2448,Waffle Shop Blue Block Sk8-Hi Keychain,,True,True,True,/en-us/p/shoes/icons/sk8-hi-5325/blue-block-sk8-hi-keychain-VN0010Z2448,Waffle Shop Blue Block Sk8-Hi Keychain,,$8.00,3 colors,1,Blue,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_2500,w_2000/v1762368219/VN0010Z2448-HERO/Waffle-Shop-Blue-Block-Sk8Hi-Keychain.png"
